"","Observed","Shannon","Simpson"
"X103",775,6.65286302935328,0.998709677419355
"X123",132,4.88280192258637,0.992424242424242
"X180",305,5.72031177660739,0.99672131147541
"X184",682,6.52502965784339,0.998533724340176
"X186",428,6.05912319558179,0.997663551401869
"X2",710,6.5652649700353,0.998591549295775
"X20",835,6.72743172485092,0.998802395209581
"X207",167,5.11799381241676,0.994011976047904
"X214",178,5.18178355029208,0.99438202247191
"X22",491,6.19644412779448,0.9979633401222
"X237",606,6.40687998606925,0.998349834983498
"X262",459,6.12905021006052,0.997821350762527
"X283",76,4.33073334028632,0.986842105263158
"X298",36,3.58351893845611,0.972222222222222
"X319",449,6.10702288774228,0.997772828507795
"X326",596,6.39024066706542,0.998322147651007
"X329",624,6.43615036836934,0.998397435897436
"X372",466,6.1441856341257,0.997854077253219
"X377",589,6.37842618365163,0.99830220713073
"X39",208,5.33753807970131,0.995192307692308
"X8",1018,6.92559519711045,0.99901768172888
"X93",280,5.63478960316925,0.996428571428571
