,Observed,Shannon,Simpson,site,bird
X123,132,4.882801923,0.992424242,Preen,CHSP02
X262,459,6.12905021,0.997821351,Cloaca,CHSP02
X298,36,3.583518938,0.972222222,Preen,CHSP03
X8,1017,6.924612396,0.999016716,Cloaca,CHSP03
X39,208,5.33753808,0.995192308,Cloaca,CHSP04
X93,280,5.634789603,0.996428571,Preen,CHSP04
X103,775,6.652863029,0.998709677,Preen,CHSP05
X2,710,6.56526497,0.998591549,Cloaca,CHSP05
X237,606,6.406879986,0.998349835,Preen,CHSP06
X377,590,6.380122537,0.998305085,Cloaca,CHSP06
X207,167,5.117993812,0.994011976,Preen,CHSP07
X372,466,6.144185634,0.997854077,Cloaca,CHSP07
X20,835,6.727431725,0.998802395,Cloaca,CHSP08
X283,76,4.33073334,0.986842105,Preen,CHSP08
X184,682,6.525029658,0.998533724,Cloaca,CHSP09
X319,449,6.107022888,0.997772829,Preen,CHSP09
X214,178,5.18178355,0.994382022,Cloaca,CHSP10
X326,595,6.388561406,0.998319328,Preen,CHSP10
X180,303,5.713732806,0.99669967,Cloaca,CHSP11
X22,492,6.198478716,0.99796748,Preen,CHSP11
X186,429,6.061456919,0.997668998,Cloaca,CHSP12
X329,624,6.436150368,0.998397436,Preen,CHSP12
