"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"103",43007,38430,37808,37882,36601,35407
"123",3984,3585,3452,3488,3244,3202
"180",112134,100851,100044,100117,89998,88560
"184",55020,48926,48163,48153,46358,44916
"186",29577,25491,25041,25060,23672,22923
"2",40953,35685,34840,34926,33020,31999
"20",54567,45840,44686,44668,40451,39019
"207",8057,7037,6860,6878,6591,6542
"214",19470,18049,17818,17853,17483,17483
"22",59017,53469,52934,52982,48990,48558
"237",38532,34316,33689,33706,32041,30803
"262",23692,21166,20744,20850,19894,18729
"283",1655,1461,1379,1374,1308,1308
"298",9871,9269,9186,9208,9144,6304
"319",20659,18642,18256,18305,17466,17133
"326",44570,40618,39818,39740,37751,37589
"329",40065,36088,35652,35645,34274,33466
"372",45801,42088,41404,41524,40076,39548
"377",58412,53359,52344,52381,50307,49818
"39",11372,9649,9344,9322,8763,8707
"8",53394,48310,46990,47125,43746,42312
"93",11302,10028,9851,9844,9332,9012
"Blk1",147,89,71,72,71,71
"Blk10",1799,1588,1561,1560,1545,1545
"Blk11",341,229,214,214,185,185
"Blk12",129,87,78,75,75,75
"Blk2",191,147,131,130,129,129
"Blk3",535,378,367,352,352,334
"Blk4",100,57,40,38,37,37
"Blk5",48,16,1,1,0,0
"Blk6",209,141,123,121,121,93
"Blk7",351,275,264,265,264,264
"Blk8",170,99,77,79,75,75
"Blk9",383,306,287,287,287,287
"WaterNegA",100,33,18,18,18,18
"WaterNegB",1711,18,4,2,2,2
"WaterNegC",60,22,1,2,0,0
"WaterNegD",97,24,6,5,4,4
"ZymoPosA",61540,53009,52865,52816,50506,45034
"ZymoPosB",96629,85992,85642,85775,82813,74254
"ZymoPosC",39217,34133,33915,33939,32044,29593
"ZymoPosD",60298,50636,50397,50401,47506,43906
