"OTU","p.value","adj.p.value"
"ASV1",1,1
"ASV1000",1,1
"ASV1001",1,1
"ASV1002",1,1
"ASV1003",1,1
"ASV1004",1,1
"ASV1006",1,1
"ASV1007",1,1
"ASV1008",1,1
"ASV1009",1,1
"ASV1010",1,1
"ASV1012",1,1
"ASV1013",1,1
"ASV1016",NA,NA
"ASV1017",NA,NA
"ASV1018",NA,NA
"ASV1019",1,1
"ASV102",1,1
"ASV1020",1,1
"ASV1024",1,1
"ASV1025",1,1
"ASV1026",1,1
"ASV1027",1,1
"ASV1028",1,1
"ASV1029",1,1
"ASV103",1,1
"ASV1030",1,1
"ASV1031",1,1
"ASV1032",1,1
"ASV1033",NA,NA
"ASV1034",1,1
"ASV1035",1,1
"ASV1036",1,1
"ASV1037",1,1
"ASV104",1,1
"ASV1040",1,1
"ASV1041",1,1
"ASV1043",1,1
"ASV1044",1,1
"ASV1046",1,1
"ASV1047",1,1
"ASV1048",1,1
"ASV1049",1,1
"ASV105",NA,NA
"ASV1051",1,1
"ASV1052",1,1
"ASV1053",1,1
"ASV1054",1,1
"ASV1055",1,1
"ASV1056",1,1
"ASV1057",1,1
"ASV1059",NA,NA
"ASV106",1,1
"ASV1061",1,1
"ASV1062",1,1
"ASV1063",NA,NA
"ASV1064",1,1
"ASV1065",1,1
"ASV1068",1,1
"ASV1069",1,1
"ASV107",1,1
"ASV1070",NA,NA
"ASV1073",1,1
"ASV1075",NA,NA
"ASV1079",1,1
"ASV108",1,1
"ASV1080",1,1
"ASV1081",1,1
"ASV1083",1,1
"ASV1084",1,1
"ASV1085",1,1
"ASV1086",1,1
"ASV1087",1,1
"ASV1089",NA,NA
"ASV109",NA,NA
"ASV1090",1,1
"ASV1091",1,1
"ASV1092",NA,NA
"ASV1093",1,1
"ASV1097",1,1
"ASV1098",1,1
"ASV1099",1,1
"ASV110",1,1
"ASV1100",1,1
"ASV1101",1,1
"ASV1104",1,1
"ASV1105",1,1
"ASV1106",1,1
"ASV1108",1,1
"ASV1109",1,1
"ASV111",1,1
"ASV1110",1,1
"ASV1111",1,1
"ASV1112",1,1
"ASV1113",1,1
"ASV1115",NA,NA
"ASV1118",NA,NA
"ASV1119",1,1
"ASV112",1,1
"ASV1120",1,1
"ASV1121",1,1
"ASV1122",1,1
"ASV1123",1,1
"ASV1124",1,1
"ASV1125",NA,NA
"ASV1126",1,1
"ASV1127",1,1
"ASV1128",1,1
"ASV1130",1,1
"ASV1131",1,1
"ASV1132",1,1
"ASV1133",1,1
"ASV1136",1,1
"ASV1138",1,1
"ASV1139",1,1
"ASV114",NA,NA
"ASV1140",1,1
"ASV1141",1,1
"ASV1143",1,1
"ASV1144",1,1
"ASV1145",1,1
"ASV1146",NA,NA
"ASV1148",NA,NA
"ASV1149",1,1
"ASV115",1,1
"ASV1150",1,1
"ASV1152",1,1
"ASV1153",1,1
"ASV1154",1,1
"ASV1155",1,1
"ASV1156",1,1
"ASV1157",1,1
"ASV1158",1,1
"ASV1159",1,1
"ASV116",1,1
"ASV1160",1,1
"ASV1161",1,1
"ASV1163",1,1
"ASV1165",1,1
"ASV1166",1,1
"ASV1167",1,1
"ASV1168",NA,NA
"ASV117",1,1
"ASV1170",1,1
"ASV1171",1,1
"ASV1172",1,1
"ASV1173",1,1
"ASV1174",1,1
"ASV1176",1,1
"ASV1180",1,1
"ASV1181",1,1
"ASV1182",1,1
"ASV1183",1,1
"ASV1184",1,1
"ASV1186",1,1
"ASV1187",1,1
"ASV1188",1,1
"ASV1189",1,1
"ASV119",1,1
"ASV1190",1,1
"ASV1191",1,1
"ASV1192",1,1
"ASV1195",1,1
"ASV1196",NA,NA
"ASV1197",1,1
"ASV1198",NA,NA
"ASV1199",1,1
