"ASV","First_Identified_Taxa"
"ASV41","Methylobacterium-Methylorubrum adhaesivum"
"ASV43","Kingdom: Bacteria"
"ASV49","Genus: Methylobacterium-Methylorubrum"
"ASV52","Genus: LD29"
"ASV65","Pseudomonas syringae"
"ASV66","Genus: 1174-901-12"
"ASV67","Genus: Methylocella"
"ASV76","Corynebacterium tuberculostearicum"
"ASV78","Genus: Arcicella"
"ASV79","Genus: Mycobacterium"
"ASV82","Genus: Methylocella"
"ASV88","Class: Cyanobacteriia"
"ASV90","Genus: Rickettsiella"
"ASV93","Genus: Pantoea"
"ASV94","Genus: Duganella"
"ASV96","Family: Acetobacteraceae"
"ASV103","Genus: Galbitalea"
"ASV115","Genus: Curtobacterium"
"ASV117","Sphingomonas glacialis"
"ASV128","Genus: Sphingomonas"
"ASV130","Neorhizobium galegae"
"ASV131","Genus: Hymenobacter"
"ASV132","Genus: Hymenobacter"
"ASV133","Pedobacter agri"
"ASV134","Genus: Hymenobacter"
"ASV136","Pseudomonas frederiksbergensis"
"ASV145","Genus: LD29"
"ASV146","Genus: Hymenobacter"
"ASV148","Genus: Fibrella"
"ASV150","Family: Acetobacteraceae"
"ASV151","Methylobacterium-Methylorubrum komagatae"
"ASV152","Sanguibacter-Flavimobilis keddieii"
"ASV157","Genus: Jatrophihabitans"
"ASV158","Genus: Methylobacterium-Methylorubrum"
"ASV159","Class: Cyanobacteriia"
"ASV162","Family: Verrucomicrobiaceae"
"ASV163","Genus: Hymenobacter"
"ASV170","Genus: Pedobacter"
"ASV172","Patulibacter minatonensis"
"ASV175","Genus: Rhodopseudomonas"
"ASV177","Nocardioides plantarum"
"ASV192","Family: Solirubrobacteraceae"
"ASV193","Class: Cyanobacteriia"
"ASV201","Genus: Acidiphilium"
"ASV204","Genus: Aureimonas"
"ASV212","Genus: Acidiphilium"
"ASV213","Genus: 1174-901-12"
"ASV214","Genus: Dyadobacter"
"ASV217","Asticcacaulis solisilvae"
"ASV247","Chryseobacterium aahli"
"ASV267","Genus: Methylocella"
"ASV282","Genus: Aureimonas"
"ASV303","Genus: Acidiphilium"
"ASV326","Family: Acetobacteraceae"
"ASV348","Genus: Aureimonas"
"ASV498","Genus: 1174-901-12"
"ASV506","Genus: Hymenobacter"
